player_name,Offense,Defense,Total,OEFG,OTOV,OREB,OFTR,DEFG,DTOV,DREB,DFTR,TEFG,TTOV,TREB,TFTR,Offense_Rank,Offense_Perc,Defense_Rank,Defense_Perc,Total_Rank,Total_Perc,OEFG_Rank,OEFG_Perc,OTOV_Rank,OTOV_Perc,OREB_Rank,OREB_Perc,OFTR_Rank,OFTR_Perc,DEFG_Rank,DEFG_Perc,DTOV_Rank,DTOV_Perc,DREB_Rank,DREB_Perc,DFTR_Rank,DFTR_Perc,TEFG_Rank,TEFG_Perc,TTOV_Rank,TTOV_Perc,TREB_Rank,TREB_Perc,TFTR_Rank,TFTR_Perc,nba_id,Position_Number,sum_of_MP
Steven Adams,2.1,0.9,3.0,0.8,-0.95,6.31,0.53,0.03,-0.77,4.01,3.51,0.83,-1.72,10.32,4.04,109,95.7,304,88.0,95,96.4,294,88.9,2152,81.8,3,99.9,900,65.9,1123,56.9,2518,95.6,14,0.5,46,1.7,417,84.2,2429,8.1,1,100.0,35,98.7,203500,5.0,18944
Boban Marjanovic,2.0,0.3,2.3,0.21,-1.4,5.39,1.52,0.07,-1.28,4.45,1.91,0.29,-2.68,9.84,3.43,121,95.4,486,81.1,149,94.3,704,73.3,2373,90.2,14,99.5,374,85.8,996,61.9,2620,99.4,7,0.3,181,6.9,745,71.6,2596,1.9,2,100.0,64,97.6,1626246,5.0,3900
Jeff Foster,-0.1,2.9,2.8,-0.29,-0.49,4.9,-1.82,0.97,0.07,4.16,1.19,0.69,-0.42,9.06,-0.63,461,82.1,41,98.4,114,95.6,1791,32.0,1811,68.9,20,99.3,2375,10.1,156,94.1,963,37.0,12,0.5,315,12.0,484,81.6,1743,34.0,3,99.9,1832,30.7,1902,4.9,15750
Enes Freedom,2.1,-2.2,-0.1,0.19,-1.6,6.93,-0.57,-0.61,-1.01,2.05,2.13,-0.42,-2.61,8.99,1.57,109,95.7,1910,25.6,450,82.6,715,72.7,2448,93.0,2,100.0,1878,28.9,2347,11.2,2586,98.1,140,5.3,158,6.0,1841,30.2,2587,2.2,4,99.9,369,86.1,202683,4.9,19876
Reggie Evans,-2.2,-0.2,-2.4,-0.93,-1.83,6.28,-0.15,-0.8,0.25,2.38,2.6,-1.73,-1.58,8.66,2.45,1137,56.3,679,73.3,994,62.1,2486,5.9,2513,95.4,4,99.9,1497,43.1,2460,6.8,571,21.9,100,3.8,107,4.0,2562,3.1,2381,9.9,5,99.8,169,93.6,2501,4.1,17864
Andre Drummond,0.6,-0.1,0.5,0.64,-1.47,6.18,0.05,-0.68,-0.01,2.32,3.1,-0.05,-1.48,8.5,3.15,290,88.7,637,75.2,357,86.3,379,85.5,2395,91.0,5,99.8,1325,49.7,2391,9.5,1291,50.4,110,4.2,73,2.8,1252,52.4,2343,11.4,6,99.8,88,96.7,203083,5.0,28027
Kenneth Faried,2.8,-1.6,1.2,0.82,-0.56,5.84,0.28,-0.96,-0.18,2.51,1.57,-0.14,-0.74,8.35,1.85,67,97.4,1436,44.6,248,90.4,275,89.5,1868,71.0,8,99.7,1090,58.7,2523,4.4,1888,72.0,81,3.1,231,8.7,1433,45.4,1994,24.5,7,99.8,286,89.2,202702,4.2,12456
Nikola Pekovic,0.2,0.4,0.6,-0.04,-1.1,4.62,-0.28,-0.21,-0.55,3.54,3.46,-0.25,-1.64,8.16,3.18,384,85.0,447,82.4,335,87.0,1185,54.5,2232,84.8,27,99.0,1640,37.9,1854,29.5,2401,91.2,25,0.9,48,1.9,1619,38.5,2408,8.9,8,99.7,83,96.9,201593,5.0,6744
Tristan Thompson,-1.0,-2.1,-3.1,-0.91,-0.61,5.2,0.41,-1.11,-1.2,2.63,3.8,-2.03,-1.8,7.83,4.21,722,71.9,1813,29.7,1161,55.7,2473,6.4,1903,72.5,15,99.5,994,62.2,2567,2.9,2616,99.3,75,2.8,38,1.4,2602,1.6,2453,7.2,9,99.7,27,99.0,202684,4.7,21001
Day'Ron Sharpe,1.2,-0.8,0.4,-0.15,-1.6,7.34,0.55,-0.29,-0.28,0.48,-0.06,-0.44,-1.89,7.82,0.49,205,92.1,976,62.1,373,85.8,1499,42.7,2448,93.0,1,100.0,885,66.5,1987,24.5,2072,78.9,614,23.4,1236,47.4,1862,29.4,2475,6.4,10,99.7,911,65.4,1630549,5.0,1864
Omer Asik,-1.8,2.6,0.8,0.62,-1.66,2.54,-1.21,1.1,-0.96,5.24,4.35,1.72,-2.62,7.79,3.15,999,61.7,56,97.8,309,88.1,394,85.1,2465,93.6,157,94.1,2184,17.3,124,95.3,2574,97.7,1,0.0,22,0.8,151,94.3,2589,2.2,11,99.6,88,96.7,201600,5.0,9398
Clint Capela,-1.2,2.3,1.1,0.58,-0.85,4.21,-1.53,1.13,-0.4,3.58,4.68,1.71,-1.24,7.78,3.15,804,69.1,77,96.9,263,89.8,411,84.4,2090,79.5,42,98.4,2291,13.3,118,95.6,2234,85.0,23,0.9,10,0.4,153,94.2,2231,15.6,12,99.6,88,96.7,203991,5.0,16227
Dennis Rodman,1.2,0.3,1.5,-0.31,-1.23,4.45,-2.32,0.14,-0.63,3.25,1.38,-0.17,-1.86,7.7,-0.95,205,92.1,486,81.1,213,91.8,1829,30.6,2289,86.9,33,98.8,2467,6.7,826,68.4,2457,93.3,36,1.4,265,10.1,1486,43.4,2469,6.7,13,99.5,2024,23.3,23,4.2,5849
Nikola Jokic,6.8,2.0,8.8,3.87,-0.66,2.42,0.76,0.25,-0.32,5.16,3.55,4.12,-0.98,7.58,4.31,6,99.8,106,95.8,5,99.8,3,99.9,1946,74.0,182,93.1,742,71.8,657,75.0,2140,81.5,2,0.1,44,1.7,11,99.6,2131,19.4,14,99.5,25,99.1,203999,5.0,21078
Mitchell Robinson,1.3,1.1,2.4,0.43,-1.3,5.94,0.59,0.91,-0.22,1.48,1.86,1.33,-1.52,7.42,2.45,192,92.6,258,89.9,137,94.7,501,80.9,2324,88.2,7,99.8,848,67.8,177,93.3,1972,75.3,233,8.9,188,7.2,238,91.0,2362,10.7,15,99.5,169,93.6,1629011,5.0,7832
Joey Dorsey,-2.3,0.5,-1.8,-0.22,-1.77,5.77,-0.26,-0.26,0.31,1.52,0.21,-0.48,-1.46,7.28,-0.05,1179,54.8,418,83.7,836,68.2,1659,36.8,2499,94.8,10,99.7,1621,38.5,1935,26.5,491,18.9,227,8.6,763,29.0,1901,27.9,2336,11.7,16,99.4,1360,48.4,201595,4.5,1594
Tari Eason,0.5,1.9,2.4,-0.99,-0.45,6.05,3.05,0.96,0.42,1.23,-0.91,-0.02,-0.02,7.28,2.14,312,87.9,117,95.4,137,94.7,2521,4.6,1779,67.8,6,99.8,66,97.5,158,94.0,370,14.2,294,11.2,2199,83.6,1181,54.8,1323,49.8,16,99.4,228,91.4,1631106,3.8,2247
Jared Sullinger,0.8,0.9,1.7,0.31,0.08,4.05,-2.22,0.29,-0.14,3.21,0.67,0.61,-0.07,7.26,-1.56,261,89.9,304,88.0,194,92.6,594,77.3,1184,45.2,50,98.1,2442,7.5,597,77.1,1788,68.4,44,1.7,466,17.7,543,79.4,1375,47.7,18,99.4,2274,13.9,203096,4.6,6532
Mark Madsen,-2.2,1.4,-0.8,-0.92,-0.63,4.51,-3.09,0.55,-0.1,2.72,0.43,-0.37,-0.73,7.23,-2.67,1137,56.3,184,92.6,587,77.3,2480,6.1,1921,73.1,30,98.9,2565,3.0,372,85.7,1669,64.1,63,2.4,587,22.4,1781,32.5,1986,24.8,19,99.3,2524,4.5,2058,4.6,5335
Greg Oden,2.0,-0.1,1.9,0.78,-1.45,4.73,0.65,0.31,-0.65,2.46,-0.08,1.09,-2.1,7.2,0.58,121,95.4,637,75.2,177,93.2,302,88.6,2392,90.8,24,99.1,812,69.2,571,78.2,2466,93.7,90,3.4,1282,49.1,316,87.9,2514,5.0,20,99.3,855,67.6,201141,5.0,2028
Hassan Whiteside,0.1,1.2,1.3,0.72,-1.57,4.4,-1.34,1.16,-1.36,2.75,3.32,1.88,-2.93,7.15,1.98,412,84.0,234,90.8,236,90.9,329,87.6,2430,92.3,36,98.7,2235,15.4,113,95.7,2626,99.6,61,2.3,58,2.2,122,95.4,2615,1.2,21,99.2,264,90.0,202355,5.0,12645
Jusuf Nurkic,-0.2,3.0,2.8,0.89,-1.4,2.43,-0.22,0.97,0.0,4.7,2.91,1.86,-1.4,7.13,2.69,487,81.0,36,98.6,114,95.6,252,90.4,2373,90.2,180,93.2,1583,39.9,156,94.1,1243,48.1,6,0.2,81,3.1,128,95.2,2301,12.9,22,99.2,127,95.2,203994,5.0,14675
Jock Landale,-0.2,1.4,1.2,-0.44,-1.59,5.46,-0.69,1.05,0.01,1.63,-0.39,0.62,-1.58,7.09,-1.08,487,81.0,184,92.6,248,90.4,2041,22.5,2442,92.8,12,99.6,1937,26.6,136,94.9,1209,46.5,199,7.6,1751,66.7,540,79.6,2381,9.9,23,99.2,2095,20.7,1629111,4.9,2331
Rudy Gobert,-0.6,5.3,4.7,1.22,-2.26,3.81,2.58,2.86,-0.71,3.23,3.88,4.09,-2.98,7.04,6.46,597,76.9,3,99.9,41,98.5,148,94.3,2598,98.6,61,97.7,118,95.6,5,99.8,2495,94.7,39,1.5,35,1.3,12,99.6,2620,0.9,24,99.1,4,99.9,203497,5.0,23042
Dwight Howard,0.0,1.9,1.9,1.85,-2.72,3.72,4.19,1.04,-0.63,3.22,3.31,2.88,-3.34,6.94,7.49,440,83.0,117,95.4,177,93.2,46,98.3,2625,99.6,66,97.5,19,99.3,139,94.8,2457,93.3,41,1.6,59,2.3,40,98.5,2636,0.4,25,99.1,2,100.0,2730,4.9,39457
Festus Ezeli,-2.1,0.7,-1.4,-0.13,-1.99,4.46,0.08,0.58,-0.66,2.4,2.17,0.45,-2.65,6.86,2.25,1103,57.7,351,86.2,745,71.5,1449,44.8,2551,96.8,32,98.8,1285,51.2,351,86.6,2475,94.0,95,3.7,151,5.7,634,75.9,2591,2.0,26,99.0,208,92.1,203105,5.0,2394
Bruno Fernando,-4.0,0.6,-3.4,-1.29,-3.42,5.42,-0.51,0.86,-0.28,1.44,-0.47,-0.44,-3.69,6.86,-0.98,1769,32.3,384,84.9,1237,52.9,2602,1.6,2634,99.9,13,99.5,1850,30.0,196,92.5,2072,78.9,242,9.2,1824,69.5,1862,29.4,2643,0.1,26,99.0,2048,22.4,1628981,5.0,2736
Moses Brown,-2.0,-2.0,-4.0,-0.96,-1.37,4.8,2.44,-0.35,-1.16,2.02,0.44,-1.32,-2.52,6.82,2.88,1080,58.8,1719,33.3,1373,47.6,2507,5.1,2356,89.5,22,99.2,139,94.8,2070,21.5,2611,99.1,146,5.6,580,22.1,2477,6.3,2580,2.5,28,99.0,109,95.9,1629650,5.0,2430
Jonas Valanciunas,0.3,-1.2,-0.9,0.98,-1.82,3.27,-1.59,-0.32,-1.42,3.5,3.71,0.66,-3.24,6.77,2.12,363,85.9,1184,54.2,619,75.9,222,91.6,2509,95.3,93,96.5,2312,12.5,2033,22.8,2629,99.8,26,1.0,41,1.6,511,80.5,2632,0.5,29,98.9,231,91.3,202685,5.0,23125
DeAndre Jordan,0.7,-0.0,0.7,1.59,-2.08,4.03,0.13,0.43,-1.14,2.64,4.33,2.02,-3.23,6.68,4.46,275,89.4,593,76.8,324,87.6,73,97.3,2567,97.4,51,98.1,1234,53.2,459,82.5,2608,99.0,72,2.8,23,0.9,102,96.1,2631,0.6,30,98.9,21,99.2,201599,5.0,29845
Willy Hernangomez,-0.2,-2.0,-2.2,-0.53,-1.2,5.05,1.88,-1.19,-0.44,1.64,1.18,-1.72,-1.64,6.68,3.06,487,81.0,1719,33.3,942,64.0,2155,18.3,2280,86.6,18,99.4,256,90.3,2583,2.3,2291,87.2,196,7.5,320,12.1,2561,3.1,2408,8.9,30,98.9,97,96.4,1626195,5.0,5644
Zydrunas Ilgauskas,-0.4,1.4,1.0,-0.05,-1.4,3.24,-2.35,0.77,-1.06,3.42,4.42,0.71,-2.46,6.66,2.06,550,78.8,184,92.6,280,89.2,1221,53.1,2373,90.2,96,96.4,2474,6.4,238,90.9,2595,98.5,29,1.1,18,0.7,471,82.1,2574,2.7,32,98.8,246,90.6,980,5.0,22965
Kevin Love,2.2,0.3,2.5,0.9,-0.39,3.25,1.67,0.02,-1.02,3.4,3.26,0.92,-1.41,6.65,4.93,102,96.1,486,81.1,130,95.0,249,90.6,1731,66.0,94,96.5,319,88.0,1157,55.7,2589,98.3,31,1.2,63,2.4,378,85.6,2312,12.5,33,98.8,14,99.5,201567,4.3,28494
Scot Pollard,-1.8,3.1,1.3,-0.3,-1.19,3.99,-2.62,1.64,0.16,2.64,0.72,1.33,-1.03,6.63,-1.89,999,61.7,32,98.8,236,90.9,1809,31.2,2273,86.4,53,98.0,2520,4.7,34,98.7,738,28.4,72,2.8,448,17.0,238,91.0,2154,18.5,34,98.8,2374,10.2,1513,4.8,8372
Lavoy Allen,-1.6,1.8,0.2,-0.53,-0.51,3.77,-2.66,0.56,-0.19,2.82,1.03,0.03,-0.7,6.58,-1.63,933,64.1,129,94.9,403,84.6,2155,18.3,1823,69.5,65,97.6,2526,4.5,365,86.1,1906,72.9,57,2.2,353,13.4,1068,59.2,1959,25.8,35,98.7,2290,13.3,202730,4.4,7977
Danny Fortson,-1.4,-1.9,-3.3,-0.73,-2.14,4.69,0.88,-0.93,-0.73,1.75,0.36,-1.66,-2.88,6.43,1.24,869,66.5,1634,36.7,1216,53.7,2352,10.9,2576,97.8,25,99.1,674,74.4,2509,5.0,2502,95.0,182,6.9,628,23.9,2555,3.3,2611,1.3,36,98.7,501,81.0,1504,4.2,8832
Kevon Looney,0.5,0.7,1.2,-0.1,-0.45,4.18,-0.22,0.96,-0.83,2.23,0.73,0.85,-1.27,6.42,0.52,312,87.9,351,86.2,248,90.4,1389,47.0,1779,67.8,44,98.4,1583,39.9,158,94.0,2538,96.4,118,4.5,444,16.9,409,84.5,2244,15.1,37,98.6,888,66.3,1626172,4.9,9167
Leon Powe,-1.3,1.0,-0.3,-0.78,-1.69,4.52,2.61,0.47,0.59,1.9,-0.22,-0.31,-1.1,6.42,2.39,832,67.9,279,89.0,490,81.2,2394,9.4,2474,93.9,28,99.0,111,95.8,426,83.8,250,9.6,161,6.2,1515,57.8,1706,35.2,2180,17.4,37,98.6,180,93.2,200796,4.3,3648
Tarik Black,-2.4,1.2,-1.2,-0.5,-1.99,3.64,-0.54,0.36,-0.23,2.7,-0.07,-0.15,-2.22,6.34,-0.62,1214,53.6,234,90.8,702,73.1,2119,19.6,2551,96.8,70,97.4,1863,29.4,525,79.9,1992,75.8,65,2.5,1258,48.3,1454,44.8,2542,3.9,39,98.6,1823,30.9,204028,4.8,4515
Robin Lopez,-1.9,0.7,-1.2,-0.23,-1.32,2.66,-2.58,0.84,-1.65,3.61,4.45,0.61,-2.98,6.26,1.87,1031,60.2,351,86.2,702,73.1,1687,36.0,2329,88.4,148,94.4,2513,5.0,207,92.2,2635,100.0,21,0.8,15,0.6,543,79.4,2620,0.9,40,98.5,281,89.4,201577,5.0,20937
Chris Dudley,-2.2,2.3,0.1,-0.84,-1.8,4.01,-2.14,1.64,-0.38,2.18,1.26,0.8,-2.17,6.2,-0.88,1137,56.3,77,96.9,416,84.0,2441,7.5,2506,95.1,52,98.1,2432,8.0,34,98.7,2212,84.2,124,4.7,294,11.1,430,83.7,2533,4.3,41,98.5,1973,25.3,201,4.9,4793
Zach Randolph,0.8,-1.2,-0.4,0.27,-0.51,3.53,-1.33,-0.94,-0.58,2.62,2.71,-0.66,-1.09,6.15,1.39,261,89.9,1184,54.2,507,80.6,632,75.8,1823,69.5,76,97.2,2231,15.6,2517,4.8,2427,92.2,76,2.9,94,3.6,2084,21.1,2174,17.8,42,98.4,442,83.3,2216,4.2,36373
Dikembe Mutombo,0.8,5.6,6.4,0.85,-1.47,1.71,-2.61,3.07,-1.28,4.29,7.47,3.92,-2.75,6.0,4.87,261,89.9,2,100.0,18,99.3,270,89.8,2395,91.0,310,88.3,2518,4.7,2,100.0,2620,99.4,9,0.3,1,0.0,14,99.5,2601,1.7,43,98.4,15,99.5,87,5.0,24971
Jakob Poeltl,1.5,0.4,1.9,1.21,-0.45,3.91,-1.63,-0.13,0.14,2.09,1.73,1.09,-0.3,6.0,0.1,168,93.5,447,82.4,177,93.2,158,94.0,1779,67.8,58,97.8,2326,12.0,1666,36.5,782,30.1,136,5.2,209,7.9,316,87.9,1637,37.9,43,98.4,1228,53.4,1627751,5.0,13540
Derrick Favors,-1.1,0.4,-0.7,0.25,-1.67,3.16,-0.85,0.18,-0.6,2.71,1.65,0.43,-2.27,5.88,0.8,767,70.4,447,82.4,564,78.3,655,75.0,2468,93.7,105,96.0,2033,23.1,762,70.9,2443,92.8,64,2.4,223,8.4,646,75.5,2547,3.7,45,98.3,722,72.6,202324,4.5,20737
Tyson Chandler,-0.6,2.2,1.6,0.25,-1.7,2.63,0.0,0.92,-0.25,3.24,3.92,1.17,-1.96,5.87,3.92,597,76.9,89,96.6,202,92.2,655,75.0,2478,94.1,151,94.3,1359,48.4,174,93.4,2023,77.0,38,1.4,34,1.3,292,89.0,2492,5.8,46,98.3,40,98.5,2199,4.9,32492
