index,nba_id,start_season,last_season
0,2,1997,1997
1,3,1997,2003
2,7,1997,1999
3,9,1997,1997
4,12,1997,1999
5,15,1997,2008
6,17,1997,1998
7,21,1997,2002
8,22,1997,2000
9,23,1997,2000
10,24,1997,1997
11,26,1997,2001
12,28,1997,2001
13,29,1997,2001
14,31,1997,2000
15,32,1997,1998
16,35,1997,2000
17,36,1997,1997
18,37,1997,2009
19,38,1997,1998
20,42,1997,2004
21,43,1997,2004
22,45,1997,2002
23,46,1997,1997
24,47,1997,1997
25,49,1997,2000
26,51,1997,2001
27,52,1998,1999
28,53,1997,2001
29,54,1997,2002
30,55,1997,2000
31,56,1997,2007
32,57,1997,2007
33,61,1997,1999
34,63,1997,2001
35,64,1997,2001
36,65,1997,1999
37,66,1997,1997
38,67,1997,2001
39,70,1997,2003
40,71,1997,1999
41,72,1997,2005
42,73,1997,1999
43,76,1997,2001
44,77,1997,2004
45,78,1997,2000
46,80,1997,1997
47,81,1997,1998
48,82,1997,2000
49,84,1997,2005
50,85,1997,2002
51,87,1997,2009
52,88,1997,1997
53,89,1997,2006
54,93,1997,2004
55,95,1997,2003
56,96,1997,2001
57,97,1998,1998
58,98,1997,2002
59,100,1997,2000
60,103,1997,2001
61,104,1997,2000
62,105,1997,2002
63,107,1997,2000
64,109,1997,2008
65,111,1997,2003
66,112,1997,1998
67,114,1997,1997
68,116,1997,1997
69,120,1997,2005
70,121,1997,2002
71,122,1997,1997
72,123,1997,2004
73,124,1997,2005
74,128,1997,2001
75,129,1997,1997
76,133,1997,2008
77,134,1997,2000
78,136,1997,2008
79,137,1997,2001
80,138,1999,2000
81,140,1997,1998
82,143,1997,1999
83,145,1997,2004
84,146,1997,2002
85,147,1997,2007
86,154,1997,1998
87,156,1997,2000
88,157,1997,1999
89,160,1998,1998
90,164,1997,2003
91,165,1997,2002
92,166,1997,2001
93,168,1997,2004
94,170,1997,2000
95,173,1997,2001
96,175,1997,1998
97,176,1997,2003
98,177,1997,2001
99,178,1997,2004
100,179,1997,2002
101,180,1997,2003
102,181,1997,1997
103,182,1997,2001
104,183,1997,1999
105,184,1997,2000
106,185,1997,2008
107,187,1997,2000
108,190,1997,2001
109,192,1997,2000
110,193,1997,2003
111,194,1998,1998
112,195,1997,1999
113,197,1997,2001
114,198,1997,2003
115,199,1997,1997
116,201,1997,2003
117,202,1997,2001
118,203,1997,1998
119,204,1997,2000
120,208,1997,2009
121,209,1997,2002
122,210,1997,2002
123,211,1997,1997
124,212,1997,1998
125,213,1997,2006
126,216,1997,2003
127,219,1997,2002
128,221,1997,2005
129,223,1998,2001
130,224,1997,2008
131,226,1997,2000
132,228,1997,2001
133,234,1997,2000
134,236,1997,2001
135,238,1997,2004
136,239,1997,2008
137,240,1997,1998
138,241,1997,1999
139,243,1997,2008
140,244,1997,2002
141,246,1997,1998
142,247,1997,1999
143,248,1997,2005
144,251,1997,2001
145,252,1997,2004
146,255,1997,2013
147,258,1997,2006
148,262,1997,2000
149,265,1997,1999
150,270,1997,2004
151,271,1997,2002
152,273,1997,1999
153,275,1997,2005
154,278,1997,2006
155,279,1997,1998
156,280,1997,2002
157,281,1997,2005
158,283,1997,2010
159,287,1997,1997
160,288,1997,2000
161,289,1998,1998
162,291,1997,1997
163,292,1997,2005
164,293,1997,1997
165,296,1997,2004
166,297,1997,2008
167,299,1997,2005
168,302,1997,2002
169,304,1997,2003
170,305,1997,1997
171,308,1997,1997
172,310,1997,1998
173,316,1997,1997
174,317,1997,2002
175,320,1997,1999
176,323,1997,2003
177,324,1997,2005
178,328,1997,1999
179,330,1997,2003
180,333,1997,1997
181,335,1997,1997
182,339,1997,2005
183,340,2006,2006
184,341,1997,1999
185,344,1997,2004
186,345,1997,2002
187,348,1997,2004
188,349,1997,2004
189,351,1997,1997
190,353,1997,2008
191,355,1997,1998
192,356,1997,1999
193,358,1997,2008
194,359,1997,2002
195,361,1997,2007
196,363,1997,2005
197,364,1997,2000
198,365,1997,2002
199,368,1997,1999
200,369,1997,2005
201,371,1997,2001
202,375,1997,2002
203,376,1997,2002
204,378,1997,1997
205,380,1997,2001
206,381,1997,2001
207,383,1997,2005
208,384,1997,2006
209,386,1997,2002
210,389,1997,2006
211,390,1997,1997
212,393,1997,2005
213,397,1997,2005
214,399,1997,2004
215,400,1997,2001
216,402,1997,1997
217,404,1997,1997
218,406,1997,2011
219,412,1997,1998
220,416,1997,1999
221,417,1997,2002
222,418,1997,1998
223,420,1997,1999
224,422,1997,2004
225,423,1997,2002
226,426,1998,2001
227,428,1997,2001
228,431,1997,2003
229,432,1997,2000
230,433,1997,1998
231,434,1997,1998
232,435,1997,2002
233,436,1997,2013
234,438,1997,1997
235,440,1997,2001
236,441,1997,2006
237,442,1997,2001
238,445,1997,2005
239,446,1997,2005
240,448,1997,2008
241,452,1997,2007
242,456,1997,2000
243,457,1997,2000
244,458,1997,2006
245,461,1997,2004
246,462,1998,2001
247,467,1997,2013
248,468,1997,2006
249,469,1997,2006
250,511,1997,1997
251,671,1997,1997
252,672,1997,2002
253,673,1997,2007
254,674,1997,2000
255,676,2000,2000
256,677,1997,2007
257,678,1997,1998
258,679,1997,2003
259,680,2000,2004
260,681,1997,2003
261,682,1997,2007
262,684,1997,1999
263,685,1997,2004
264,686,1997,2011
265,688,1997,2005
266,689,1997,2011
267,690,1997,2003
268,691,1997,1997
269,692,1997,2005
270,693,1997,2011
271,694,1997,2002
272,695,1997,2002
273,696,1997,2005
274,697,1997,2005
275,698,1997,1999
276,699,1997,2009
277,700,1997,1997
278,701,1997,1997
279,702,1997,2006
280,703,1997,2013
281,704,1997,1999
282,706,1997,1999
283,707,1997,2000
284,708,1997,2016
285,709,1997,1997
286,710,1997,1999
287,711,1997,2013
288,712,1998,2000
289,713,1997,2001
290,714,1997,2010
291,715,1999,2001
292,716,1997,1997
293,717,1997,2003
294,718,1997,2004
295,719,1997,1997
296,721,1997,2001
297,722,1997,2007
298,724,1997,2005
299,725,1997,1997
300,727,1997,2009
301,728,1997,1997
302,729,1997,1997
303,731,1997,2006
304,732,1997,1997
305,733,1997,1997
306,734,1997,1998
307,735,1997,2001
308,737,1998,1998
309,739,1997,2013
310,753,1997,2003
311,754,1997,2006
312,757,1997,2008
313,760,1997,2001
314,761,1997,2002
315,762,1997,2005
316,763,1997,2005
317,764,1997,2003
318,765,1997,2001
319,766,1997,2001
320,768,1997,1997
321,769,1997,2000
322,770,1997,2000
323,771,1997,1997
324,777,1997,2000
325,779,1997,2004
326,781,1997,2001
327,782,1997,2002
328,783,1997,1997
329,785,1997,2000
330,786,1997,1999
331,787,1997,2000
332,788,1997,2007
333,891,1997,2004
334,892,1998,1998
335,893,1997,2003
336,894,1997,1998
337,895,1997,2001
338,896,1997,2003
339,898,1997,1999
340,899,1997,1998
341,900,1997,1997
342,901,1997,2001
343,902,1997,2004
344,904,1997,2001
345,905,1997,2007
346,906,1997,2000
347,907,1997,2000
348,911,1997,2006
349,912,1997,1997
350,913,1997,2001
351,914,1997,2000
352,915,1997,2005
353,916,1997,2004
354,917,1997,1998
355,919,1997,2001
356,920,1997,2001
357,922,1997,2005
358,923,1997,2009
359,924,1997,2006
360,925,1998,1998
361,927,2000,2000
362,929,1997,1997
363,930,1997,1997
364,931,1997,2001
365,932,1997,2004
366,934,1997,2005
367,935,1997,2006
368,937,1997,2004
369,938,1997,1999
370,939,1998,2002
371,940,1997,1997
372,941,1997,1997
373,947,1997,2010
374,948,1997,2013
375,949,1997,2008
376,950,1997,2009
377,951,1997,2014
378,952,1997,2009
379,953,1997,2009
380,954,1997,2005
381,955,1997,2006
382,956,1997,2012
383,957,1997,2001
384,958,1997,2007
385,959,1997,2015
386,960,1997,2006
387,961,1997,2004
388,962,1997,2006
389,963,1997,1998
390,964,1997,2000
391,965,1997,2014
392,966,1997,2005
393,967,1997,1999
394,968,1997,1998
395,969,1997,2003
396,970,1997,2008
397,971,1997,2000
398,976,1997,2008
399,977,1997,2016
400,978,1999,2011
401,979,1997,2014
402,980,1998,2011
403,981,2003,2003
404,982,1997,1998
405,983,1997,2006
406,984,1997,1997
407,987,1997,1999
408,988,1997,2007
409,989,1997,2000
410,990,1997,2009
411,992,1997,2000
412,994,1997,2001
413,997,1997,1998
414,998,1998,2005
415,999,1998,1998
416,1000,1997,2006
417,1002,1997,1998
418,1003,1998,2000
419,1005,1997,2003
420,1006,1997,2002
421,1023,1997,2003
422,1024,1997,1998
423,1026,1997,1997
424,1032,1997,2005
425,1035,1997,2002
426,1036,1997,1999
427,1037,1997,1999
428,1038,2003,2003
429,1041,1997,1997
430,1043,1997,2004
431,1049,1997,2004
432,1051,1997,2002
433,1052,2004,2006
434,1055,1998,1998
435,1059,1997,1997
436,1061,1998,1999
437,1063,1997,1998
438,1064,1997,1997
439,1065,1997,2005
440,1068,1997,1997
441,1070,1997,2000
442,1073,1997,2003
443,1074,1997,2003
444,1075,1998,1998
445,1077,1997,1997
446,1080,1997,1998
447,1085,2000,2002
448,1086,1997,2000
449,1088,2000,2010
450,1089,1997,1998
451,1093,1997,1997
452,1096,1997,1998
453,1099,1997,1997
454,1101,1997,1997
455,1108,1997,2000
456,1109,1997,1997
457,1110,1997,2003
458,1112,1997,2012
459,1114,1997,2002
460,1118,1997,1998
461,1120,1997,1997
462,1121,1997,1997
463,1122,1997,1999
464,1125,1997,1997
465,1126,1997,1998
466,1128,1997,1998
467,1129,1997,1997
468,1131,1997,1997
469,1133,1998,1999
470,1134,1997,2002
471,1136,1997,1997
472,1137,1997,1997
473,1138,1997,2001
474,1361,1997,1997
475,1365,1997,1998
476,1380,1997,1998
477,1381,1997,1997
