player,nba_id,team_id,team,DRAFT_YEAR,DRAFT_NUMBER
Achiuwa Precious,1630173,1610612752,NYK,2020.0,20.0
Adams Steven,203500,1610612745,HOU,2013.0,12.0
Adebayo Bam,1628389,1610612748,MIA,2017.0,14.0
Agbaji Ochai,1630534,1610612761,TOR,2022.0,14.0
Ajinca Melvin,1642351,1610612742,DAL,2024.0,51.0
Akinjo James,1631231,1610612749,MIL,,
Aldama Santi,1630583,1610612763,MEM,2021.0,30.0
Alexander Trey,1641725,1610612743,DEN,,
Alexander-Walker Nickeil,1629638,1610612750,MIN,2019.0,17.0
Allen Grayson,1628960,1610612756,PHX,2018.0,21.0
Allen Jarrett,1628386,1610612739,CLE,2017.0,22.0
Alvarado Jose,1630631,1610612740,NOP,,
Anderson Kyle,203937,1610612744,GSW,2014.0,30.0
Antetokounmpo Giannis,203507,1610612749,MIL,2013.0,15.0
Antetokounmpo Thanasis,203648,1610612749,MIL,2014.0,51.0
Anthony Cole,1630175,1610612753,ORL,2020.0,15.0
Anunoby OG,1628384,1610612752,NYK,2017.0,23.0
Avdija Deni,1630166,1610612757,POR,2020.0,9.0
Ayton Deandre,1629028,1610612757,POR,2018.0,1.0
Azubuike Udoka,1628962,1610612756,PHX,2020.0,27.0
Bacot Armando,1630654,1610612763,MEM,,
Bagley III Marvin,1628963,1610612764,WAS,2018.0,2.0
Baldwin Jr. Patrick,1631116,1610612764,WAS,2022.0,28.0
Ball LaMelo,1630163,1610612766,CHA,2020.0,3.0
Ball Lonzo,1628366,1610612741,CHI,2017.0,2.0
Bamba Mo,1628964,1610612746,LAC,2018.0,6.0
Banchero Paolo,1631094,1610612753,ORL,2022.0,1.0
Bane Desmond,1630217,1610612763,MEM,2020.0,30.0
Banton Dalano,1630625,1610612757,POR,2021.0,46.0
Barlow Dominick,1631230,1610612737,ATL,,
Barnes Harrison,203084,1610612759,SAS,2012.0,7.0
Barnes Scottie,1630567,1610612761,TOR,2021.0,4.0
Barrett RJ,1629628,1610612761,TOR,2019.0,3.0
Bassey Charles,1629646,1610612759,SAS,2021.0,53.0
Bates Emoni,1641734,1610612739,CLE,2023.0,49.0
Bates-Diop Keita,1628966,1610612752,NYK,2018.0,48.0
Battle Jamison,1642419,1610612761,TOR,,
Batum Nicolas,201587,1610612746,LAC,2008.0,25.0
Beal Bradley,203078,1610612756,PHX,2012.0,3.0
Beasley Malik,1627736,1610612765,DET,2016.0,19.0
Beauchamp MarJon,1630699,1610612749,MIL,2022.0,24.0
Beekman Reece,1641736,1610612744,GSW,,
Bernard Jules,1631262,1610612764,WAS,,
Beverley Patrick,201976,1610612749,MIL,2009.0,42.0
Bey Saddiq,1630180,1610612764,WAS,2020.0,19.0
Bitadze Goga,1629048,1610612753,ORL,2019.0,18.0
Bitim Onuralp,1641931,1610612741,CHI,,
Black Anthony,1641710,1610612753,ORL,2023.0,6.0
Bogdanovic Bogdan,203992,1610612737,ATL,2014.0,27.0
Bogdanovic Bojan,202711,1610612751,BKN,2011.0,31.0
Bol Bol,1629626,1610612756,PHX,2019.0,44.0
Bona Adem,1641737,1610612755,PHI,2024.0,41.0
Booker Devin,1626164,1610612756,PHX,2015.0,13.0
Boston Jr. Brandon,1630527,1610612759,SAS,2021.0,51.0
Boucher Chris,1628449,1610612761,TOR,,
Bouyea Jamaree,1631123,1610612759,SAS,,
Branham Malaki,1631103,1610612759,SAS,2022.0,20.0
Braun Christian,1631128,1610612743,DEN,2022.0,21.0
Bridges Jalen,1641779,1610612756,PHX,,
Bridges Mikal,1628969,1610612752,NYK,2018.0,10.0
Bridges Miles,1628970,1610612766,CHA,2018.0,12.0
Brissett Oshae,1629052,1610612738,BOS,,
